"","contrast","estimate","SE","df","t.ratio","p.value"
"1","grain F order1 - pr F order1",0.068172400151045,0.0895309850118142,19,0.761439183787035,0.999611582892531
"2","grain F order1 - nr F order1",0.0156570279659173,0.0998205097342144,19,0.156851813395927,0.999999999973541
"3","grain F order1 - grain M order1",0.06256224250313,0.0652412273256587,19,0.958937240570962,0.997002214352688
"4","grain F order1 - pr M order1",0.00917016820254153,0.0905816857667772,19,0.101236448901516,1
"5","grain F order1 - nr M order1",-0.110438989765555,0.088837396748685,19,-1.24315878005723,0.977372364097092
"6","grain F order1 - grain F order2",0.00988519464847263,0.0652412273256587,19,0.151517607097267,0.999999999981889
"7","grain F order1 - pr F order2",0.213462510466126,0.0905816857667772,19,2.3565747166125,0.474357233329815
"8","grain F order1 - nr F order2",-0.0853656689513581,0.088837396748685,19,-0.960920424006252,0.996949681957621
"9","grain F order1 - grain M order2",0.0709939806666474,0.0652412273256587,19,1.08817665725804,0.991626237201633
"10","grain F order1 - pr M order2",0.181060657849801,0.0905816857667772,19,1.99886606566346,0.689347877152474
"11","grain F order1 - nr M order2",-0.191946093429666,0.088837396748685,19,-2.16064518383704,0.591686752421092
"12","pr F order1 - nr F order1",-0.0525153721851277,0.0470168394822394,19,-1.11694815652093,0.989748235202725
"13","pr F order1 - grain M order1",-0.00561015764791502,0.0948407433913808,19,-0.0591534550163055,1
"14","pr F order1 - pr M order1",-0.0590022319485035,0.113769023290273,19,-0.51861420835058,0.999990811717557
"15","pr F order1 - nr M order1",-0.1786113899166,0.112385194421484,19,-1.5892786486336,0.893177599695383
"16","pr F order1 - grain F order2",-0.0582872055025724,0.0948407433913808,19,-0.614579804188561,0.999949900604896
"17","pr F order1 - pr F order2",0.145290110315081,0.113769023290273,19,1.27706212212427,0.972672668776877
"18","pr F order1 - nr F order2",-0.153538069102403,0.112385194421484,19,-1.36617701195214,0.95698218909388
"19","pr F order1 - grain M order2",0.00282158051560234,0.0948407433913808,19,0.0297507212059534,1
"20","pr F order1 - pr M order2",0.112888257698756,0.113769023290273,19,0.992258300493015,0.996014388953666
"21","pr F order1 - nr M order2",-0.260118493580711,0.112385194421484,19,-2.31452634770712,0.498972836144802
"22","nr F order1 - grain M order1",0.0469052145372127,0.092839733545009,19,0.505227802215448,0.999992956153155
"23","nr F order1 - pr M order1",-0.00648685976337576,0.112106378846617,19,-0.0578634314132208,1
"24","nr F order1 - nr M order1",-0.126096017731472,0.110701768020358,19,-1.13906055871016,0.988093079494596
"25","nr F order1 - grain F order2",-0.00577183331744466,0.092839733545009,19,-0.062169860867238,1
"26","nr F order1 - pr F order2",0.197805482500209,0.112106378846617,19,1.76444449044996,0.817616524697962
"27","nr F order1 - nr F order2",-0.101022696917275,0.110701768020358,19,-0.912566246446009,0.998034600284742
"28","nr F order1 - grain M order2",0.0553369527007301,0.092839733545009,19,0.596048163730484,0.999962949342388
"29","nr F order1 - pr M order2",0.165403629883884,0.112106378846617,19,1.4754167567056,0.930348711550844
"30","nr F order1 - nr M order2",-0.207603121395583,0.110701768020358,19,-1.87533699874969,0.759944990745933
"31","grain M order1 - pr M order1",-0.0533920743005885,0.0817302334777126,19,-0.653272014879882,0.999909125239244
"32","grain M order1 - nr M order1",-0.173001232268685,0.0911232414718221,19,-1.89854124452083,0.747113904568805
"33","grain M order1 - grain F order2",-0.0526770478546574,0.0622050695314829,19,-0.846828855773512,0.998979424672264
"34","grain M order1 - pr F order2",0.150900267962996,0.0884199905497026,19,1.70663067282474,0.844864337741177
